"campaignid","sample","family","genus","species","maxn"
"2021-05_Abrolhos_stereo-BRUVs","npz9.18","Lutjanidae","Pristipomoides","multidens",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.18","Monacanthidae","Nelusetta","ayraud",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.18","Sparidae","Chrysophrys","auratus",3
"2021-05_Abrolhos_stereo-BRUVs","npz9.18","Tetraodontidae","Lagocephalus","sceleratus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.18","Triakidae","Mustelus","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.19","Lethrinidae","Gymnocranius","grandoculis",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.19","Lethrinidae","Lethrinus","miniatus",3
"2021-05_Abrolhos_stereo-BRUVs","npz9.19","Sparidae","Chrysophrys","auratus",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.2","Lethrinidae","Gymnocranius","grandoculis",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.2","Sparidae","Chrysophrys","auratus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.2","Tetraodontidae","Lagocephalus","sceleratus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.21","Carangidae","Seriola","dumerili",3
"2021-05_Abrolhos_stereo-BRUVs","npz9.21","Lethrinidae","Lethrinus","miniatus",1
